powerball-number,frequency,last-drawn
1,58,2026-04-18
2,53,2026-06-13
3,55,2026-06-29
4,64,2026-02-02
5,58,2026-05-06
6,52,2026-07-01
7,45,2026-05-11
8,45,2025-07-30
9,55,2025-09-08
10,48,2026-05-25
11,48,2026-06-27
12,48,2026-06-17
13,51,2026-06-22
14,65,2026-06-24
15,46,2026-06-20
16,39,2025-12-13
17,43,2026-01-19
18,60,2026-05-16
19,50,2025-12-24
20,60,2026-07-04
21,63,2026-03-14
22,46,2026-05-09
23,50,2026-06-15
24,62,2026-04-01
25,58,2026-05-20
26,54,2026-05-23
